study	sample	group	pop	ecotype	pop_alias	data_source	pooled	accession_number	barcode	seq_type	latitude	longitude
catchen	cs_1335.44	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.45	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.46	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.48	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.49	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.51	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.54	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1335.55	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.01	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.02	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.03	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.04	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.05	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.06	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.07	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.08	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.09	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.10	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.11	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.12	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.13	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.14	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.15	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.16	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.17	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.18	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.19	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.20	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.21	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.22	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.23	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1874.24	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.01	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.02	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.03	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.04	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.05	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.06	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.07	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.08	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.09	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.10	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.11	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.12	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.13	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.15	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.16	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.18	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1875.20	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.01	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.02	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.03	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.04	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.05	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
catchen	cs_1877.06	1b	cushman_slough	marine	cs	SRA	no	SRA070979		RAD	43.59224	-124.24294
