pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate ds gene_count group reg1 reg2 geography2 group2
constance lake misty stream allo D -1.90498394753917 -0.304601909944281 -0.0803131704176367 -0.0353528350331436 allo_D sl bc allo allo_D
constance lake roberts lake allo S -2.58830581666235 -0.147886167977225 0.0199642105488642 0.0104341643579728 allo_S sl bc allo allo_S
constance lake roberts stream allo D -2.30611116174194 -0.121802193346177 -0.285845145495235 0.00135480820509017 allo_D sl bc allo allo_D
constance lake sk marine allo D -3.17465111150232 -0.00323772357579332 0.581685930262053 0.0153082191140046 allo_D sl ns allo allo_D
constance lake sr marine allo D -2.21393579033019 -0.0871242094557279 0.111120975459248 -0.0163054830355055 allo_D sl ns allo allo_D
constance lake sr white allo D -2.68356199493722 -0.0728828909850837 0.470134057997386 -0.0138795574986551 allo_D sl ns allo allo_D
constance stream al marine allo D -1.62094988818502 -0.0276127636772279 -0.925227410804796 -0.0200536546767421 allo_D sl ns allo allo_D
constance stream cl marine allo D -3.63966974567958 -0.00310193369253754 0.93559549386704 0.0499444976085369 allo_D sl ns allo allo_D
constance stream cl white allo D -2.16883424986587 -0.0215536387020508 -0.465723722601827 0.0271102099808375 allo_D sl ns allo allo_D
constance stream cp marine allo D -1.69989543312115 -0.0255414324553324 -0.862719036065749 -0.0396401459312748 allo_D sl ns allo allo_D
constance stream geneva lake allo D -3.31524280687654 0.0262240635684522 0.428843239662825 -0.0537479827310299 allo_D sl sl para para_D
constance stream geneva stream allo S -3.40243828052136 0.0284367603725799 0.405486172037226 -0.0164871433312761 allo_S sl sl para para_S
constance stream joes lake allo D -2.76777084216153 -0.00106863921370331 0.229802445271565 -0.0334047182446495 allo_D sl bc allo allo_D
constance stream joes stream allo S -3.64831734003729 0.0147712451285599 0.741427958901421 -0.00751705145305642 allo_S sl bc allo allo_S
constance stream ln marine allo D -2.85540935828995 -0.0458676944173618 0.354015100748393 -0.00517393435807004 allo_D sl ns allo allo_D
constance stream mh marine allo D -2.92831659233705 -0.0729794559765892 0.466652015510374 0.0495908302406317 allo_D sl ns allo allo_D
constance stream mh white allo D -4.20887474450422 -0.197505996918565 1.26416340190258 0.130671910085274 allo_D sl ns allo allo_D
constance stream misty lake allo D -2.22105060696166 -0.350429879972697 0.110602382331255 5.11905550524742e-05 allo_D sl bc allo allo_D
constance stream misty stream allo S -2.52139621615062 -0.269476940279239 0.37049689056652 -0.0117508537529707 allo_S sl bc allo allo_S
constance stream roberts lake allo D -2.71799682042571 -0.131496224973972 0.12955297394838 0.0150426406224697 allo_D sl bc allo allo_D
constance stream roberts stream allo S -2.6462870467827 -0.0716625307890868 -0.0828097061061751 -0.014531722369741 allo_S sl bc allo allo_S
constance stream sk marine allo D -2.61754875417586 0.0216271488571167 -0.101835341001087 0.0195535630047899 allo_D sl ns allo allo_D
constance stream sr marine allo D -2.20306245530967 -0.0397735116416793 -0.201939430785684 0.0111502594294031 allo_D sl ns allo allo_D
constance stream sr white allo D -2.12059828744335 -0.0451777469406335 -0.107354769994474 -0.032378084750007 allo_D sl ns allo allo_D
cp marine ln marine allo S -1.5729423778569 -0.0921553451381946 -1.41253667983969 0.00913858475592368 allo_S ns ns para para_S
cp marine mh marine allo S -2.49442976665882 -0.0315498257550931 -0.410787947030165 0.00156822693043855 allo_S ns ns para para_S
cp marine mh white allo D -2.0822276490604 -0.125815687857965 -0.289004716357363 -0.102632433708477 allo_D ns ns para para_D
cp marine sk marine allo S -3.104447131135 -0.137525093431741 0.409788046158426 0.0105139305578119 allo_S ns ns para para_S
cp marine sr marine allo S -2.52240954195423 -0.0549596202245087 -0.23496328157319 -0.0290371930653253 allo_S ns ns para para_S
cp marine sr white allo D -2.14256590443713 -0.159543351282144 -0.334814081735035 -0.0699204920961016 allo_D ns ns para para_D
cr stream al marine allo D 0.13542197695758 -0.157825714785727 -0.612020931946901 -0.0419190006358549 allo_D or ns allo allo_D
cr stream bea lake allo D -1.15683310978266 -0.181157557057531 -0.626332617880819 0.00359039599432804 allo_D or al allo allo_D
cr stream boot lake allo D -0.541427616742431 -0.166301407562807 -0.793480759866687 -0.0860435018255938 allo_D or bc allo allo_D
cr stream boot stream allo S -0.817375381378259 -0.141139539269423 -0.517022072710736 -0.0436066551094609 allo_S or bc allo allo_S
cr stream cl marine allo D 0.636225639249982 -0.139917325128776 -1.15408195571997 -0.0120954053303982 allo_D or ns allo allo_D
cr stream cl white allo D 0.475396424630689 -0.183828112676804 -0.88191215568206 -0.0324562251441228 allo_D or ns allo allo_D
cr stream constance lake allo D -0.478183714699359 -0.197002481502093 -0.423757193662329 -0.0352318862859418 allo_D or sl allo allo_D
cr stream constance stream allo S -0.648983695031508 -0.18343765769405 -0.3073888388917 -0.0443132973471566 allo_S or sl allo allo_S
cr stream cp marine allo D 0.150316611724712 -0.213693618382832 -0.630099019455943 -0.0302372290931223 allo_D or ns allo allo_D
cr stream cs marine allo D -1.51652399010754 -0.352440855473822 -0.561474619585361 -0.0623332004830903 allo_D or or para para_D
cr stream denmark marine allo D -0.344901176837235 -0.1780446488257 -0.316948808738444 -0.0298914464919194 allo_D or ne allo allo_D
cr stream geneva lake allo D -0.794656372497337 -0.18609253810652 -0.389491770917541 0.00209151150236401 allo_D or sl allo allo_D
cr stream geneva stream allo S -0.412730726275351 -0.189322036986046 -0.645926788607144 -0.00283905724779475 allo_S or sl allo allo_S
cr stream hadsten lake allo D -0.682691857415137 -0.205192763920607 -0.333890489018158 -0.0686674175431888 allo_D or ne allo allo_D
cr stream hald lake allo D -0.897469738232993 -0.238777311037056 -0.458329092940624 -0.04410176768906 allo_D or ne allo allo_D
cr stream japan japansea allo D -0.906687429976323 -0.199457859560362 -0.0748975528982735 -0.126113093244136 allo_D or jp allo allo_D
cr stream japan marine allo D -0.620308304150815 -0.414776759194848 -0.83224604883691 -0.0575018293621128 allo_D or jp allo allo_D
cr stream joes lake allo D -1.61027811264862 -0.133412644673667 0.221143159419744 -0.044228396842379 allo_D or bc allo allo_D
cr stream joes stream allo S -1.73327714887385 -0.144571793853183 0.28750285795542 -0.0309941097272581 allo_S or bc allo allo_S
cr stream litcampbell marine allo D 0.492591141962874 -0.154010817482174 -1.32378128078137 -0.06498322317626 allo_D or bc allo allo_D
cr stream ln marine allo D 0.164179423845572 -0.192668027816014 -0.562473748688105 -0.032976506646185 allo_D or ns allo allo_D
cr stream mariager marine allo D -0.959547741787382 -0.238409292800879 -0.432848922029823 -0.0740587258942415 allo_D or ne allo allo_D
cr stream mh marine allo D 0.29799281770873 -0.125130781213633 -0.258642007536825 -0.092671576903582 allo_D or ns allo allo_D
cr stream mh white allo D 0.484038560984724 -0.101533565438091 -1.02388891102218 -0.015281938967437 allo_D or ns allo allo_D
cr stream misty lake allo D -1.83781487277273 -0.239073731082719 -0.0239371183625225 -0.0240660055098321 allo_D or bc allo allo_D
cr stream misty stream allo S -1.89083758109037 -0.180314201071961 -0.102374559956654 -0.0398932000494906 allo_S or bc allo allo_S
cr stream ms marine allo D -1.03383880397303 -0.196354689153976 -1.28632817015992 -0.0815942620878693 allo_D or or para para_D
cr stream mud lake allo D -0.933132108498385 -0.183732694872841 -0.651261822510716 -0.0218603281864025 allo_D or al allo allo_D
cr stream pcr lake allo D -1.73053944204382 -0.263810052728074 -0.305166863885272 -0.0884196115412541 allo_D or or para para_D
cr stream pl lake allo D -2.09459618934076 -0.0222452501888625 -0.715198392018179 -0.0265722715283386 allo_D or or para para_D
cr stream rab marine allo D 0.0768909286217449 -0.269986028511049 -0.959286326295885 0.0153148405506206 allo_D or al allo allo_D
cr stream rb stream allo S -1.90748397449311 -0.0700528279344688 -0.714958881123175 -0.044423672693883 allo_S or or para para_S
cr stream res marine allo D -0.712361666212372 -0.255824804202913 -0.556144619840188 -0.0304897507365496 allo_D or al allo allo_D
cr stream roberts lake allo D -1.63317267256403 -0.328030983985466 -0.30377566459659 -0.0664719813491327 allo_D or bc allo allo_D
cr stream roberts stream allo S -1.59133597117656 -0.208915252337146 -0.238451431585299 -0.0787585853415122 allo_S or bc allo allo_S
cr stream sj marine allo D -1.46919319172407 -0.256545743820865 -0.645200049639625 -0.0895074260680759 allo_D or or para para_D
cr stream sk marine allo D 0.499850672844461 -0.124751685865846 -0.862062268072048 -0.0665802042084095 allo_D or ns allo allo_D
cr stream sr marine allo D 0.580145455760955 -0.143611719222548 -0.960671043565475 -0.0519412440009374 allo_D or ns allo allo_D
cr stream sr white allo D 0.441454997053051 -0.164847756286495 -0.890017347305064 -0.038922239776715 allo_D or ns allo allo_D
cr stream stl lake allo D -1.93488904797145 0.00188283924627989 -1.26190452822054 0.0299093745424083 allo_D or or para para_D
cr stream wc stream allo S -1.77473452823892 -0.26840806422565 -0.179436457804764 -0.0929540096834404 allo_S or or para para_S
cs marine al marine allo S -2.9179987747167 0.00406064818340726 0.130265188527183 -0.0430418792716608 allo_S or ns allo allo_S
cs marine bea lake allo D -2.78018181504479 -0.000319970442333556 -0.0865697588863529 -0.021620785230857 allo_D or al allo allo_D
cs marine boot lake allo D -2.07372264184501 -0.107224460712924 -0.518060422586466 -0.0158830534853682 allo_D or bc allo allo_D
cs marine boot stream allo D -1.99712708798826 -0.137866733942201 -0.401421636681551 -0.0355290893269002 allo_D or bc allo allo_D
cs marine cl marine allo S -4.00022267640303 -0.0885743225832556 1.06810638840629 0.0553659473386777 allo_S or ns allo allo_S
cs marine cl white allo D -2.88822105517735 -0.120186658979349 0.315699671403133 -0.00482656559120958 allo_D or ns allo allo_D
cs marine constance lake allo D -2.79691621862744 -0.0127817921692613 0.110040912515045 -0.0470147449650234 allo_D or sl allo allo_D
cs marine constance stream allo D -2.86770496829551 -0.0291567932967788 0.321180728901701 -0.0840774772894356 allo_D or sl allo allo_D
cs marine cp marine allo S -3.35129472672621 -0.0630322064451104 0.66464987316171 -0.0109947313311162 allo_S or ns allo allo_S
cs marine denmark marine allo S -1.85472556378822 -0.0284532012208475 -0.781734368368704 -0.083337148674732 allo_S or ne allo allo_S
cs marine geneva lake allo D -2.51241602697092 -0.0672661889939944 0.0473439177456891 -0.0748037502558378 allo_D or sl allo allo_D
cs marine geneva stream allo D -2.46688282445058 -0.0343622221211147 -0.0598643386031645 -0.0925207665776492 allo_D or sl allo allo_D
cs marine hadsten lake allo D -2.47596981434998 -0.00787724559438109 -0.166619024034655 -0.119195927127564 allo_D or ne allo allo_D
cs marine hald lake allo D -2.6272788522086 -0.00431431451719511 0.0868878934547195 -0.130281639540709 allo_D or ne allo allo_D
cs marine japan japansea allo D -2.05788056857291 -0.139946536611639 -0.0127701478938876 -0.166119119323208 allo_D or jp allo allo_D
cs marine japan marine allo S -2.13840259323092 -0.0866476019196859 -0.312770943409213 -0.0777166557926118 allo_S or jp allo allo_S
cs marine joes lake allo D -1.21318715352654 -0.157144418739031 -1.45973264206138 -0.000327513649676672 allo_D or bc allo allo_D
cs marine joes stream allo D -2.24047421886934 -0.043047207583226 -0.597118444062423 -0.0037150287856476 allo_D or bc allo allo_D
cs marine litcampbell marine allo S -1.10714194222745 -0.0045935302056758 -1.1442054284548 -0.14070389207056 allo_S or bc allo allo_S
cs marine ln marine allo S -2.69219829422611 -0.0281614231292758 0.10920029281384 -0.0563834139115185 allo_S or ns allo allo_S
cs marine mariager marine allo S -2.57518566123477 -0.0506115962761747 0.00261984493545222 -0.0716354459437773 allo_S or ne allo allo_S
cs marine mh marine allo S -4.37775809337367 -0.0510486137251976 1.05371955143072 0.090516237605676 allo_S or ns allo allo_S
cs marine mh white allo D -4.76920233212289 -0.068639477645026 1.81214465967448 0.0461670151514863 allo_D or ns allo allo_D
cs marine misty lake allo D -2.17967693353097 -0.309001858408691 -0.0553273343805403 0.0131135024813785 allo_D or bc allo allo_D
cs marine misty stream allo D -2.1046009209508 -0.31223627255495 -0.0657832381061989 -0.00485973552364916 allo_D or bc allo allo_D
cs marine ms marine allo S -2.45799610573253 -0.0022561586208441 -0.346135586179255 -0.0374820804763993 allo_S or or para para_S
cs marine mud lake allo D -2.91211260553246 -0.0200877258548109 0.258693569685224 -0.0328166172098301 allo_D or al allo allo_D
cs marine pcr lake allo D -1.2921323466709 -0.77342338017567 -0.114751687033812 -0.052809027704028 allo_D or or para para_D
cs marine pl lake allo D -1.71889956435942 -0.310980406413711 -0.376936411871751 -0.0680558466781658 allo_D or or para para_D
cs marine rab marine allo S -2.74616779942402 0.0296338975233857 -0.313327999290335 0.0141974403190308 allo_S or al allo allo_S
cs marine rb stream allo D -1.80895121873435 -0.276321350312893 -0.362835485693192 -0.0362273537552728 allo_D or or para para_D
cs marine res marine allo S -2.92432373126699 0.0126904768481557 0.245167073044084 -0.0680278338817063 allo_S or al allo allo_S
cs marine roberts lake allo D -1.63863955218924 -0.198712144542665 -0.725985175339217 -0.0233531010603013 allo_D or bc allo allo_D
cs marine roberts stream allo D -2.06902248349496 -0.239219107773499 -0.214671244737721 -0.0067132057373998 allo_D or bc allo allo_D
cs marine sj marine para S -2.18137510041435 -0.113690089649494 -0.157688114635648 -0.0597710804283756 para_S or or para para_S
cs marine sk marine allo S -3.30543139537763 -0.0686701895921323 0.427950138902808 0.0303277138843752 allo_S or ns allo allo_S
cs marine sr marine allo S -3.76621471414784 -0.0507900638637127 1.0076838501338 -0.0159068272357967 allo_S or ns allo allo_S
cs marine sr white allo D -2.69283404512469 -0.0982886622724975 0.200886069589844 -0.0313446250298423 allo_D or ns allo allo_D
cs marine stl lake allo D -1.23372052230159 -0.403047944103056 -0.968942624411726 -0.0169556963414352 allo_D or or para para_D
cs marine wc stream allo D -1.71335393770819 -0.386211794843548 -0.308663086362597 -0.0387958238865242 allo_D or or para para_D
denmark marine al marine allo S -1.79302844365482 -0.0340773746102307 -1.28846705388441 0.0166630592918329 allo_S ne ns allo allo_S
denmark marine boot lake allo D -2.31007457960795 -0.0687811097094884 0.365071961290657 -0.024532385451833 allo_D ne bc allo allo_D
denmark marine boot stream allo D -1.79434639882977 -0.0390114549819899 -0.0838235399293602 -0.0725894390467374 allo_D ne bc allo allo_D
denmark marine cl marine allo S -2.55004472836392 -0.0703297697835111 -0.563129372745392 0.0569467527684222 allo_S ne ns allo allo_S
denmark marine cl white allo D -2.16152747357997 -0.0613681206992537 -0.907030572375481 0.0376401281714834 allo_D ne ns allo allo_D
denmark marine constance lake allo D -2.58850354115971 -0.00481415004711935 0.0375286710518495 0.037589117644963 allo_D ne sl allo allo_D
