pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds recomb_rate.gene_count recomb_rate.ds gene_count.ds recomb_rate.gene_count.ds group
boot lake ln marine allo D -3.36373821433982 0.117872363959799 -0.0916080184703545 0.20239484109196 -0.0408921946154267 -1.08903657644557 -0.00480663895670899 0.148968685950729 allo_D
boot lake mh marine allo D -4.27917828837836 0.079962087921331 0.00471649276791101 0.547473932868321 0.00260372323227644 -0.0591365105103725 -0.03822430575323 -0.0793355663523457 allo_D
boot lake mh white allo D -5.23376147594709 0.279979882293936 0.0823599877833189 3.5490977076074 -0.0741469311755485 -0.763175272708061 -0.532785199568712 0.14620879126536 allo_D
boot lake misty lake allo S -3.32145119897425 -0.936072181338767 0.062964262106547 -1.98826621668761 -0.0260647633787114 1.02519599662848 -0.0606113758827277 0.0323602959840846 allo_S
boot lake misty stream allo D -2.35754456741038 -1.04537674442111 -0.160643618053907 -4.41471129049772 -0.00137658342425189 1.31390799599923 0.672773017470404 -0.0850734033264577 allo_D
boot lake roberts lake allo S -4.05518743511681 -0.21208508538424 -0.106510580693424 -0.0295755875290303 0.026381616474002 -0.603765722774322 0.195975765744742 0.0289283193276048 allo_S
boot lake roberts stream allo D -3.5372385809605 -0.514949981443818 -0.298123564586419 -2.64552518039362 0.0842141457424736 0.827179514999523 1.19817385967051 -0.457860514200002 allo_D
boot lake sk marine allo D -3.84251570120174 0.137875456107428 -0.0210364178687164 -1.22165505142898 -0.0767460391404743 -0.418552830194879 0.0659834854973094 0.146415002893143 allo_D
boot lake sr marine allo D -4.46172494457266 0.159468693114537 -0.0300742705597638 1.98462377809257 -0.0227852464200613 -0.789880260205407 -0.0886979866230939 0.068139726587781 allo_D
boot lake sr white allo D -4.00655329124408 0.105580536984434 0.0139646068387941 0.596518452230502 -0.0323140343911196 -0.518691826174211 -0.0224945115989098 0.0535643312996314 allo_D
boot stream al marine allo D -5.15604440516097 0.204252505477797 0.321973562181642 3.42721098524959 -0.0525815645004238 -0.671948013666264 -0.617059514854438 -0.0479069639949877 allo_D
boot stream cl marine allo D -4.78995638154117 0.143758420990223 0.125375062632537 1.21512956197638 -0.0286977451894436 -0.425331299903009 -0.00657608324754376 0.0242974646794808 allo_D
boot stream cl white allo D -5.2143564249907 0.169428656987402 0.160419945768522 3.09675464923156 -0.0285481957343726 -0.660642954144337 -0.205590467615817 0.0388158646311495 allo_D
boot stream constance lake allo D -4.16044034011719 -0.270768400477898 -0.153219868846868 -2.02331229573092 -0.163963166090386 0.563355837315787 0.613522351376826 0.102106079416751 allo_D
boot stream constance stream allo S -3.34333478083714 -0.747861027750408 -0.421843132069038 -3.4427371423604 0.0349646287126706 1.23159077023573 0.933650726935477 -0.161417631931475 allo_S
boot stream cp marine allo D -3.82963831888912 -0.0697542490887941 0.123142701719095 -0.701993088302012 -0.0314063750577452 0.248599321345562 -0.168729785048537 -0.0455059764982598 allo_D
