pop1 ecotype1 pop2 ecotype2 geography ecology intercept recomb_rate gene_count ds group
constance lake sr marine allo D -5.22247605216314 -0.0439684453282223 -0.00795517680049456 1.07869507404006 allo_D
constance lake sr white allo D -4.67689082668966 -0.00147983632768604 -0.164941340023766 0.882629659283172 allo_D
constance stream al marine allo D -3.16198248237165 0.0137506597422587 -0.160656395438716 -0.782403041262388 allo_D
constance stream cl marine allo D -6.13269592642591 -0.0212869779856226 0.078683652646942 1.64909445497065 allo_D
constance stream cl white allo D -3.58616788393704 0.0103256831744116 -0.109913190504996 -0.496375671679037 allo_D
constance stream cp marine allo D -3.2975206318003 -0.0197397070638192 -0.0933925993539034 -0.985965357928207 allo_D
constance stream geneva lake allo D -4.9631877232475 0.00257083507481629 -0.14621109721088 0.186259441185013 allo_D
constance stream geneva stream allo S -5.12490572170315 0.0189655587732982 -0.0875033264352059 0.0721334430895156 allo_S
constance stream joes lake allo D -4.89292439102533 -0.112560869174769 0.0252457979872349 -0.262561032903324 allo_D
constance stream joes stream allo S -6.31323294799448 -0.100879270088955 0.115651253181327 0.384576920700422 allo_S
constance stream ln marine allo D -3.47785718928791 -0.0134051374531414 -0.136100224966201 -0.507190363819819 allo_D
constance stream mh marine allo D -5.82446880130649 -0.0559803472619869 0.0809993494476366 1.28485270610461 allo_D
constance stream mh white allo D -6.30863515432997 -0.239280682671521 0.153280420627094 1.37931735074748 allo_D
constance stream misty lake allo D -3.79742094453502 -1.00164259982119 -0.0339494239580475 0.48837989150229 allo_D
constance stream misty stream allo S -4.96408371547869 -0.760288780945961 0.0326856912511461 1.19246020955129 allo_S
constance stream roberts lake allo D -4.22842301795644 -0.237730341930028 0.0240516526230612 -0.109213083662585 allo_D
constance stream roberts stream allo S -4.70647076204055 -0.468382397724456 0.106607683273357 0.0896022320733967 allo_S
constance stream sk marine allo D -4.63153326881203 0.0117297033422366 -0.0241482098871384 0.327962285115088 allo_D
constance stream sr marine allo D -4.96191265315611 -0.0378665907995329 -0.0173248472854297 0.928472016437076 allo_D
constance stream sr white allo D -4.09999740100959 -0.00434455187591492 -0.200900582816287 0.477884262113728 allo_D
cp marine ln marine allo S -5.5597383055088 0.0201190779271142 0.0659788250504928 -1.0459169251844 allo_S
cp marine mh marine allo S -5.05154163117268 0.0300715470783918 -0.609639171035171 -0.433779207315122 allo_S
cp marine mh white allo D -5.07902037179104 -0.150340286704816 -0.0562276771584552 0.159802286265751 allo_D
cp marine sk marine allo S -536.886555737626 -11.3331479023416 13.1014088707824 215.75870639487 allo_S
cp marine sr marine allo S -5.7661155393044 0.0222227826946612 -0.0683733274669877 -0.194145429350957 allo_S
cp marine sr white allo D -6.99130666620169 -0.200247402361445 0.149048347489337 0.55620764107306 allo_D
cr stream al marine allo D -3.25988161197367 -0.373634911479118 0.0178681874452494 0.172748852320011 allo_D
cr stream bea lake allo D -3.8987733459355 -0.265202396822208 -0.0751414285546562 0.236180175212162 allo_D
cr stream boot lake allo D -4.41796684445577 -0.345181056753989 -0.0374151928157842 0.63287393586855 allo_D
cr stream boot stream allo S -4.0257436782728 -0.0766132635407769 -0.309902073585679 0.477485720956798 allo_S
cr stream cl marine allo D -3.31450491333618 -0.295933808608843 0.0909799902752171 -0.210303918907272 allo_D
cr stream cl white allo D -3.00608617731394 -0.454653001248804 0.0297898952929157 -0.0313418220061595 allo_D
cr stream constance lake allo D -2.39420216806491 -0.545644216005408 -0.0363856488193256 -1.15310568669461 allo_D
cr stream constance stream allo S -1.92702735124326 -0.420073908487383 -0.0627881015491763 -1.73651095775852 allo_S
cr stream cp marine allo D -2.55508225959532 -0.448871263087257 0.0385604860372397 -0.334326426866916 allo_D
cr stream cs marine allo D -3.4676407521843 -0.455329272605938 -0.221546052556499 0.201063153169666 allo_D
cr stream denmark marine allo D -4.23859311844326 -0.131943252946711 -0.0524041052556963 0.699299078449925 allo_D
cr stream geneva lake allo D -2.87024167747537 -0.16866189968266 -0.148164683455612 -0.758057749662832 allo_D
cr stream geneva stream allo S -1.99456588363581 -0.319772385490844 -0.0824361829868736 -1.52147875302883 allo_S
cr stream hadsten lake allo D -3.42888608783768 -0.335431121727095 -0.360688113751017 0.507793677864813 allo_D
cr stream hald lake allo D -2.83180597147394 -0.539208730266066 -0.231287451100303 0.0190192163178372 allo_D
cr stream japan japansea allo D -2.14759246231681 -1.10792149869779 -0.32986130427514 -0.346836320861774 allo_D
cr stream japan marine allo D -2.29413747206595 -1.30456382934984 -0.0441466632383702 -0.965226086789913 allo_D
cr stream joes lake allo D -4.88403430341868 -0.286654954928572 -0.131041327543539 1.32245972944019 allo_D
cr stream joes stream allo S -4.51226286062458 -0.199877684605065 -0.213749895260894 1.06247118139785 allo_S
cr stream litcampbell marine allo D -2.69705449555445 -0.299064151598651 -0.011073527844176 -0.641467488602308 allo_D
cr stream ln marine allo D -2.91154840150094 -0.322132488180331 -0.025462170652785 0.0259351310289877 allo_D
cr stream mariager marine allo D -3.32187015016984 -0.281736027354092 -0.222612896711482 0.19186727011125 allo_D
cr stream mh marine allo D -3.85359326228973 -0.207117512555826 0.00930802000497167 0.501264038205638 allo_D
cr stream mh white allo D -3.72785210613668 -0.140815080675166 -0.0516000384918428 0.544104819245013 allo_D
cr stream misty lake allo D -4.55208413186512 -0.387113707774934 -0.00855714595978914 0.127457393539079 allo_D
cr stream misty stream allo S -5.0867713769906 -0.196772945255988 -0.0670105597248517 0.497887083461368 allo_S
cr stream ms marine allo D -3.19108441150696 -0.720019604661552 -0.186731429225608 -0.385089890179132 allo_D
cr stream mud lake allo D -3.21342810082301 -0.369208565001649 -0.239080625104674 0.0311786511125611 allo_D
cr stream pcr lake allo D -4.55079699166686 -0.259464746906958 -0.16589398303271 0.629615859684164 allo_D
cr stream pl lake allo D -2.76587564080764 0.0301474679068792 -0.439539471963949 -1.50057168983267 allo_D
cr stream rab marine allo D -2.28053582751889 -0.670971277932878 0.0165946794408668 -0.759955253029337 allo_D
cr stream rb stream allo S -3.6042787474214 -0.150779044383452 -0.100600976144402 -0.189757381564668 allo_S
cr stream res marine allo D -4.14204304488108 -0.404336770881178 -0.00509060369046076 0.368601298528208 allo_D
cr stream roberts lake allo D -4.89255954786132 -0.256014604309145 -0.0558633569857098 0.548004658947898 allo_D
cr stream roberts stream allo S -4.4894577338466 -0.207861451483419 -0.107942349387199 0.0255615079002919 allo_S
cr stream sj marine allo D -3.94519211781864 -0.321330424599997 -0.174791118263038 0.0678922339804242 allo_D
cr stream sk marine allo D -2.99035393337581 -0.250954869185515 -0.0674723703123199 -0.00373841616625798 allo_D
cr stream sr marine allo D -2.70961383880166 -0.297756717690651 -0.027824828928158 -0.342303861378326 allo_D
cr stream sr white allo D -2.9231055674124 -0.280740381442536 -0.0941640616718769 0.228612438812086 allo_D
cr stream stl lake allo D 11.2399751067696 -1.88393923624736 -9.43526711333416 -7.1935626314466 allo_D
cr stream wc stream allo S -3.81328693946014 -0.192804877234977 -0.134315603553907 -0.0380744460479015 allo_S
cs marine al marine allo S -4.05168933585749 -0.015744888029933 -0.0448567144814497 -0.494194608745531 allo_S
cs marine bea lake allo D -3.74725742614917 -0.14458179748045 -0.117006097336017 0.0203364838051925 allo_D
cs marine boot lake allo D -4.27635551248048 -0.297051778514993 0.0351395992738722 -0.0770037373996517 allo_D
cs marine boot stream allo D -3.73167108808821 -0.669891759824088 0.0384149125314155 -0.0421579300900843 allo_D
cs marine cl marine allo S -5.64593918740109 -0.0336990650956363 0.0247895518394052 0.870355430250843 allo_S
cs marine cl white allo D -3.97629237705789 -0.0808164187104913 -0.0398688498350627 -0.462849858944922 allo_D
cs marine constance lake allo D -5.30578501511217 0.0146381439846846 -0.151242855701349 1.10182053514847 allo_D
cs marine constance stream allo D -5.16261768540694 -0.0214088889148327 -0.150273312782257 0.940446940803606 allo_D
cs marine cp marine allo S -4.16629711227716 -0.137503100292169 -0.0173374939682989 -0.37651015768644 allo_S
cs marine denmark marine allo S -4.11415439026626 -0.0245370250913862 -0.0564047666673781 -0.0478519816250445 allo_S
cs marine geneva lake allo D -3.64553247512951 -0.0468577320432398 -0.0414237251696962 -0.937434404969168 allo_D
cs marine geneva stream allo D -4.26722870475198 -0.0574925239478282 -0.0916889794282429 -0.159533842275292 allo_D
cs marine hadsten lake allo D -4.9596144053868 -0.0169643172844959 -0.139356880368964 0.759962793484256 allo_D
cs marine hald lake allo D -4.8528765019625 0.012148387715769 -0.146680621473228 0.737218946119682 allo_D
