"lg" "pos1" "pos2" "gene.density"
1 19050000 19124999 0.0771333333333333
1 19125000 19199999 0.0236133333333333
1 19275000 19349999 0.00690666666666667
1 19425000 19499999 0.144706666666667
1 19500000 19574999 0.403306666666667
1 19575000 19649999 0.732986666666667
1 19725000 19799999 0.425386666666667
1 19800000 19874999 0.105013333333333
1 19875000 19949999 0.316613333333333
1 19950000 20024999 0.401333333333333
1 20025000 20099999 0.563506666666667
1 20100000 20174999 0.768266666666667
1 20175000 20249999 0.858933333333333
1 20325000 20399999 0.0301733333333333
1 20400000 20474999 0.31272
1 20475000 20549999 0.2368
1 20550000 20624999 0.330213333333333
1 20625000 20699999 0.6356
1 20700000 20774999 0.90248
1 20775000 20849999 0.312466666666667
1 20850000 20924999 0.60848
1 20925000 20999999 0.36824
1 2.1e+07 21074999 0.655533333333333
1 21075000 21149999 0.490866666666667
1 21150000 21224999 0.43452
1 21225000 21299999 0.227186666666667
1 21375000 21449999 0.82632
1 21450000 21524999 0.240426666666667
1 21525000 21599999 0.45568
1 21600000 21674999 0.74048
1 21675000 21749999 0.497493333333333
1 21750000 21824999 0.304293333333333
1 21825000 21899999 0.41248
1 21900000 21974999 0.407493333333333
1 21975000 22049999 0.511186666666667
1 22050000 22124999 0.570186666666667
1 22125000 22199999 0.59144
1 22200000 22274999 0.447733333333333
1 22275000 22349999 0.736173333333333
1 22350000 22424999 0.665546666666667
1 22425000 22499999 0.190946666666667
1 22500000 22574999 0.406906666666667
1 22575000 22649999 0.420013333333333
1 22650000 22724999 0.5538
1 22725000 22799999 0.537373333333333
1 22800000 22874999 0.497026666666667
1 22875000 22949999 0.470466666666667
1 22950000 23024999 0.0141866666666667
1 23025000 23099999 0.642133333333333
1 23100000 23174999 0.46308
1 23175000 23249999 0.325573333333333
1 23250000 23324999 0.700386666666667
1 23325000 23399999 0.65716
1 23400000 23474999 0.38664
1 23475000 23549999 0.03612
1 23550000 23624999 0.205293333333333
1 23625000 23699999 0.454
1 23700000 23774999 0.31648
1 23850000 23924999 0.0280266666666667
1 24150000 24224999 0.0526133333333333
1 24225000 24299999 0.0554133333333333
1 24375000 24449999 0.0132133333333333
1 24450000 24524999 0.00126666666666667
1 24525000 24599999 0.21928
1 24600000 24674999 0.68496
1 24675000 24749999 0.218546666666667
1 24825000 24899999 0.941386666666667
1 24900000 24974999 0.811426666666667
1 24975000 25049999 0.30048
1 25125000 25199999 0.500786666666667
1 25200000 25274999 0.641626666666667
1 25275000 25349999 0.548546666666667
1 25350000 25424999 0.582533333333333
1 25425000 25499999 0.7216
1 25500000 25574999 0.530653333333333
1 25575000 25649999 0.325173333333333
1 25725000 25799999 0.937253333333333
1 25800000 25874999 0.923013333333333
1 25875000 25949999 0.362773333333333
1 25950000 26024999 0.249546666666667
1 26100000 26174999 0.8838
1 26400000 26474999 0.179826666666667
1 26475000 26549999 0.54024
1 26550000 26624999 0.282626666666667
1 26625000 26699999 0.292066666666667
1 26700000 26774999 0.222573333333333
1 26775000 26849999 0.137653333333333
1 26850000 26924999 0.650746666666667
1 26925000 26999999 0.245573333333333
1 2.7e+07 27074999 0.699946666666667
1 27075000 27149999 0.54424
1 27150000 27224999 0.594066666666667
1 27225000 27299999 0.438493333333333
1 27300000 27374999 0.61288
1 27375000 27449999 0.580386666666667
1 27450000 27524999 0.642933333333333
1 27525000 27599999 0.298506666666667
1 27600000 27674999 0.33844
1 27675000 27749999 0.615186666666667
1 27750000 27824999 0.499013333333333
1 27825000 27899999 0.549693333333333
1 27900000 27974999 0.689293333333333
1 27975000 28049999 0.15444
1 28125000 28199999 0.12064
2 1 74999 0.862586666666667
2 75000 149999 0.509373333333333
2 150000 224999 0.678213333333333
2 225000 299999 0.50512
2 3e+05 374999 0.75488
2 375000 449999 0.466226666666667
2 450000 524999 0.479626666666667
2 525000 599999 0.248173333333333
2 6e+05 674999 0.0333866666666667
2 675000 749999 0.184253333333333
2 825000 899999 0.133626666666667
2 9e+05 974999 0.59804
2 975000 1049999 0.00146666666666667
2 1050000 1124999 0.01884
2 1275000 1349999 0.07396
2 1575000 1649999 0.0483866666666667
2 1875000 1949999 0.541146666666667
2 1950000 2024999 0.937693333333333
2 2100000 2174999 0.194706666666667
2 2250000 2324999 0.69944
2 2325000 2399999 0.195026666666667
2 2400000 2474999 0.272826666666667
2 2475000 2549999 0.1326
2 2625000 2699999 0.62336
2 3075000 3149999 0.592733333333333
2 3150000 3224999 0.0198133333333333
2 3225000 3299999 0.277866666666667
2 3300000 3374999 0.438026666666667
2 3375000 3449999 0.2798
2 3450000 3524999 0.531386666666667
2 3525000 3599999 0.411573333333333
2 3600000 3674999 0.744653333333333
2 3675000 3749999 0.547733333333333
2 3750000 3824999 0.465066666666667
2 3825000 3899999 0.36884
2 3900000 3974999 0.25192
2 4125000 4199999 0.539546666666667
2 4200000 4274999 0.5858
2 4275000 4349999 0.582706666666667
2 4350000 4424999 0.05624
2 4425000 4499999 0.2398
2 4500000 4574999 0.846266666666667
2 4575000 4649999 0.468226666666667
2 4650000 4724999 0.333346666666667
2 4800000 4874999 0.97364
2 4950000 5024999 0.328066666666667
2 5025000 5099999 0.567853333333333
2 5100000 5174999 0.534173333333333
2 5175000 5249999 0.59076
2 5250000 5324999 0.316026666666667
2 5325000 5399999 0.799266666666667
2 5400000 5474999 0.88864
2 5475000 5549999 0.99048
2 5550000 5624999 0.62528
2 5625000 5699999 0.52928
2 5700000 5774999 0.5272
2 5775000 5849999 0.446146666666667
2 5850000 5924999 0.6954
2 5925000 5999999 0.5492
2 6e+06 6074999 0.81012
2 6075000 6149999 0.652626666666667
2 6150000 6224999 0.358493333333333
2 6225000 6299999 0.391013333333333
2 6300000 6374999 0.593946666666667
2 6375000 6449999 0.365
2 6450000 6524999 0.630533333333333
2 6525000 6599999 0.05116
2 6600000 6674999 0.0404266666666667
2 6750000 6824999 0.581
2 7050000 7124999 0.173346666666667
2 7125000 7199999 0.8724
2 7350000 7424999 0.57292
2 7575000 7649999 0.308746666666667
2 7650000 7724999 0.741026666666667
2 7725000 7799999 0.723013333333333
2 7800000 7874999 0.620613333333333
2 7875000 7949999 0.395546666666667
2 8025000 8099999 0.06448
2 8100000 8174999 0.56348
2 8175000 8249999 0.533133333333333
2 8250000 8324999 0.603933333333333
2 8325000 8399999 0.268066666666667
2 8400000 8474999 0.394426666666667
2 8475000 8549999 0.173226666666667
2 8550000 8624999 0.446866666666667
2 8625000 8699999 0.48176
2 8700000 8774999 0.383346666666667
2 8775000 8849999 0.664066666666667
2 8850000 8924999 0.518613333333333
2 8925000 8999999 0.5234
2 9e+06 9074999 0.617653333333333
2 9075000 9149999 0.789386666666667
2 9150000 9224999 0.163586666666667
2 9225000 9299999 0.115453333333333
2 9300000 9374999 0.379493333333333
2 9375000 9449999 0.59432
2 9525000 9599999 0.678453333333333
2 9675000 9749999 0.41712
2 9750000 9824999 0.66756
2 9825000 9899999 0.143573333333333
2 9900000 9974999 0.02204
2 9975000 10049999 0.646346666666667
2 10050000 10124999 0.806813333333333
2 10125000 10199999 0.890706666666667
2 10200000 10274999 0.406933333333333
2 10350000 10424999 0.44924
2 10425000 10499999 0.44428
2 10500000 10574999 0.785053333333333
2 10575000 10649999 0.528373333333333
2 10725000 10799999 0.348746666666667
2 10950000 11024999 0.01512
2 11025000 11099999 0.12588
2 11100000 11174999 0.64432
2 11175000 11249999 0.7214
2 11250000 11324999 0.756293333333333
2 11325000 11399999 0.568053333333333
2 11400000 11474999 0.901533333333333
2 11475000 11549999 0.647493333333333
2 11550000 11624999 0.719133333333333
2 11625000 11699999 0.58524
2 11700000 11774999 0.423066666666667
2 11775000 11849999 0.536733333333333
2 11850000 11924999 0.378066666666667
2 11925000 11999999 0.728866666666667
2 1.2e+07 12074999 0.100266666666667
