lg_bp_group,benlim_lq,benlim_paxton,benlim_priest,catchen_group1,catchen_group2,catchen_group3,fer_group1,hohenlohe_group1,hohenlohe_group2,japan_group1,roesti_boot,roesti_constance,roesti_geneva,roesti_joes,roesti_misty,roesti_roberts,russian_Ershov,russian_NilMash,whtcmn_CL,whtcmn_MH,whtcmn_SR,overalltrue.x,overallfalse.x,overalltotal,overallprop,bltrue.x,blfalse.x,bltotal,blprop,mltrue.x,mlfalse.x,mltrue2.x,mlfalse2.x,mltotal,mlprop,sltrue.x,slfalse.x,sltotal,slprop,wctrue.x,wcfalse.x,wctotal,wcprop,parallel_allpops_sig,parallel_benlim_sig,parallel_streamlake_sig,parallel_marinefresh_sig,parallel_whitecomm_sig
1_34,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,9,10,0.1,0,3,3,0,0,1,0,2,3,0,0,0,0,NA,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_36,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,12,13,0.076923077,0,1,1,0,0,4,0,2,6,0,0,2,2,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_37,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,20,20,0,0,3,3,0,0,6,0,2,8,0,0,5,5,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,14,15,0.066666667,0,3,3,0,0,4,0,2,6,0,0,2,2,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,19,21,0.095238095,0,3,3,0,0,6,0,2,8,0,1,5,6,0.166666667,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_41,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,18,20,0.1,0,3,3,0,0,6,0,2,8,0,0,5,5,0,1,2,3,0.333333333,FALSE,FALSE,FALSE,FALSE,FALSE
1_42,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,0,16,16,0,0,3,3,0,0,5,0,2,7,0,0,2,2,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_43,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,15,18,0.166666667,1,2,3,0.333333333,1,4,0,2,7,0.142857143,0,4,4,0,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
1_44,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,13,17,0.235294118,3,0,3,1,0,6,0,2,8,0,0,2,2,0,0,3,3,0,FALSE,TRUE,FALSE,FALSE,FALSE
1_45,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,1,8,9,0.111111111,0,3,3,0,0,0,0,2,2,0,0,0,0,NA,0,3,3,0,FALSE,FALSE,FALSE,FALSE,FALSE
