pop1 ecotype1 reg1 pop2 ecotype2 reg2 geography geography2 ecology group group2 lg n.sites num.outliers nnd.mean.null nnd.sd.null nnd.mean.emp nnd.emp.percentile nnd.emp.zscore nnd.emp.pvalue disp.all disp.out
al marine ns mh marine ns allo para S allo_S para_S 4 476 17 2.13651583783445 0.658793802117739 2.71384249553531 0.7937 0.876338933130532 0.380845805613437 0.999947546783752 5.72380226109598
al marine ns mh marine ns allo para S allo_S para_S 5 235 6 2.76495287939534 1.24408615792867 4.1664890880641 0.8682 1.12655879959491 0.259929066926643 1.55581428393242 8.92411614894297
al marine ns mh marine ns allo para S allo_S para_S 6 318 3 8.65144678377258 4.79488036685003 6.358384868798 0.3648 -0.478231309132952 0.632485580656027 0.759837100571087 18.3495397619572
al marine ns mh marine ns allo para S allo_S para_S 7 404 4 9.4523374702973 4.85649512954526 4.77911217562498 0.1955 -0.962262942722213 0.335917538650284 0.984170448970517 8.59689615718766
al marine ns mh marine ns allo para S allo_S para_S 9 399 10 1.95407537034147 1.80776048650463 0.03543581244867 0.1023 -1.06133504533145 0.288537664519054 20.848291874578 37.5601447773352
al marine ns mh marine ns allo para S allo_S para_S 10 307 7 4.47451331662309 1.70248717773558 4.96902256486314 0.5908 0.290462832676235 0.771462180891548 0.663135872565745 5.44081732552521
al marine ns mh marine ns allo para S allo_S para_S 11 318 7 3.21158844966729 1.23223400215599 3.44753077888333 0.5623 0.191475262655648 0.848153259517457 0.464761245628406 11.8766098388404
al marine ns mh marine ns allo para S allo_S para_S 12 313 4 4.33526370091958 4.36228258093398 2.43096964885046 0.4763 -0.436536152057671 0.662447775397028 26.4150214138798 0.139711893076889
al marine ns mh marine ns allo para S allo_S para_S 13 385 4 7.64717680225864 3.81489035962289 4.98086079372971 0.2738 -0.69892336533428 0.484599924560877 1.53492985573377 17.1611970985378
al marine ns mh marine ns allo para S allo_S para_S 14 296 6 4.17401709441692 1.78855897420488 2.57296354783861 0.2151 -0.895163967008728 0.370699443551287 0.539541167695463 3.21863134438868
al marine ns mh marine ns allo para S allo_S para_S 15 283 10 2.4507900808845 0.855033355692236 2.14104968661746 0.3755 -0.362255334490748 0.717161232525382 1.05443151765713 6.9866725986326
al marine ns mh marine ns allo para S allo_S para_S 16 340 6 3.94258017707326 1.69759430542877 1.28887101035221 0.0418 -1.56321752390114 0.11800143968714 3.88097277264062 6.47868103276877
al marine ns mh marine ns allo para S allo_S para_S 17 305 6 6.84152560859068 2.67587777268908 5.04413812340821 0.2683 -0.67170014397788 0.501774609700235 0.792070790469092 6.91280605636727
al marine ns mh marine ns allo para S allo_S para_S 18 263 3 10.3614976427247 5.18425547510732 16.6793073740829 0.8677 1.21865323992881 0.222975832704416 0.587523755952075 0.0102191886642707
al marine ns mh marine ns allo para S allo_S para_S 20 290 5 0.124902792088201 0.0477434387564463 0.103563757641871 0.3428 -0.446952188659611 0.654909581234316 0.00693872978006268 NA
al marine ns mh white ns allo para D allo_D para_D 1 350 16 1.63324340210024 0.769460784414678 1.19666664909629 0.3193 -0.56738012104938 0.570455952789738 1.32597278466788 13.9970807382529
al marine ns mh white ns allo para D allo_D para_D 2 304 5 6.69474688498737 3.39489805684662 3.03076150591025 0.1513 -1.07926226877058 0.280470827934089 0.755904586039337 1.88003639640903
al marine ns mh white ns allo para D allo_D para_D 3 209 3 7.41993135998494 4.41160770025979 4.29342438252587 0.2735 -0.708700136069432 0.478510580391846 0.981399869575546 0.0518716204988723
al marine ns mh white ns allo para D allo_D para_D 4 430 14 2.67102712804711 0.932367161053423 0.944651173040009 0.0297 -1.85160527646274 0.0640825248114348 1.38211145452192 16.8665566423055
al marine ns mh white ns allo para D allo_D para_D 5 183 9 1.75879832934249 0.735940550500132 1.81663951888787 0.5464 0.078594921160505 0.937354827370499 2.08924234072006 13.3860454094256
al marine ns mh white ns allo para D allo_D para_D 6 232 2 13.0521568177687 10.6555020459376 11.6735379438612 0.5483 -0.129380940284567 0.897056228364507 1.38348731208891 NA
al marine ns mh white ns allo para D allo_D para_D 7 346 10 3.62206344693571 1.3366578440664 3.42235532610187 0.4468 -0.149408557859719 0.881231259331014 0.776611226822046 13.7844818511704
al marine ns mh white ns allo para D allo_D para_D 8 224 5 5.89954249473505 2.69598388446788 2.47983276707593 0.108 -1.26844590850887 0.204638755906443 0.884458735837804 1.59851144592733
al marine ns mh white ns allo para D allo_D para_D 9 248 6 2.06025542150615 2.67663212089762 0.0762776782656044 0.3216 -0.741221674712328 0.458559043456834 21.2952019601794 0.260859850301113
al marine ns mh white ns allo para D allo_D para_D 10 202 10 3.04310375044793 1.03735583019892 1.08297940537404 0.0271 -1.88953904534186 0.0588196360223567 0.831885915023705 3.1271834192904
al marine ns mh white ns allo para D allo_D para_D 11 255 4 5.81319965470009 2.73488763564731 6.75130269994126 0.62 0.343013377593168 0.731588396172269 0.441233968052343 1.22232800495636
al marine ns mh white ns allo para D allo_D para_D 12 214 4 4.0737220059613 4.26215662179359 11.5638482408723 0.8306 1.7573559349302 0.0788571592159483 26.4518061237177 30.0255956064684
al marine ns mh white ns allo para D allo_D para_D 13 292 4 7.83445673441708 3.90941775077007 1.49373588156991 0.0269 -1.62190926042585 0.1048227784363 1.37391114476221 12.7630617322847
al marine ns mh white ns allo para D allo_D para_D 15 203 2 15.0183620121739 12.0451373962055 27.7442757882368 0.8183 1.05651877246928 0.290731268904997 1.74594255853614 NA
al marine ns mh white ns allo para D allo_D para_D 16 269 7 3.16554115981808 1.27913889633024 0.32993768849036 7e-04 -2.21680654029274 0.0266363144004007 3.88319661748819 1.80062082331115
al marine ns mh white ns allo para D allo_D para_D 17 196 5 8.3424867359304 3.52672799057661 11.173899011 0.7542 0.802843962629123 0.422064928512219 0.926423090058197 11.6869943103878
al marine ns mh white ns allo para D allo_D para_D 18 204 4 6.73072319174674 3.30309112613953 1.1471746190614 0.0284 -1.6904010090727 0.0909512621492932 0.83475207049991 18.6034749210358
al marine ns mh white ns allo para D allo_D para_D 20 257 12 0.0446327955337799 0.0114979367801639 0.0483117603238373 0.6176 0.31996738722762 0.748993053154908 0.00864797434124726 0.0431749756248143
al marine ns mh white ns allo para D allo_D para_D 21 151 5 3.32214669196458 1.80757487689969 2.43483839269335 0.3613 -0.490883288217151 0.62350899756206 1.1909727863474 1.94987883038196
al marine ns sk marine ns allo para S allo_S para_S 1 618 18 1.45931312048746 0.644049090139648 1.30129782865709 0.4349 -0.245346657963768 0.806188027640092 0.987121640863628 16.7368105608498
al marine ns sk marine ns allo para S allo_S para_S 2 514 16 2.15289970587626 0.583215863278802 2.58934667764514 0.7619 0.748345508496974 0.454251781437124 0.615932595195142 5.74175201717235
al marine ns sk marine ns allo para S allo_S para_S 3 427 5 5.06636389828487 2.30691386740699 0.99612825510568 0.018 -1.76436394123123 0.0776707250161946 0.391756101220417 3.93950660932093
al marine ns sk marine ns allo para S allo_S para_S 4 716 16 2.37161155217156 0.755654565545285 3.2729259505039 0.8721 1.19275981305287 0.23296345300163 0.95843360257706 7.1102543377062
al marine ns sk marine ns allo para S allo_S para_S 5 280 5 3.5509380860101 1.86053127234452 0.749028910565329 0.0473 -1.50597263109369 0.13207419967655 1.61030300185118 2.3184921122562
al marine ns sk marine ns allo para S allo_S para_S 6 454 14 1.93285701817418 0.620431187190778 1.13705829932763 0.1155 -1.28265428185488 0.19961322369047 0.612768587923768 7.98796617489672
al marine ns sk marine ns allo para S allo_S para_S 7 587 13 2.82967291180229 0.845043010727845 0.750723636693628 0.0025 -2.4601697768236 0.0138871304552332 0.453567784796503 13.5497880805848
al marine ns sk marine ns allo para S allo_S para_S 8 463 13 2.33806697217447 0.675085705678049 1.32963462267649 0.0703 -1.49378418327658 0.135232036890014 0.541668884442939 6.18709370882282
al marine ns sk marine ns allo para S allo_S para_S 9 619 40 0.412719025098682 0.343287267102123 0.508154244147729 0.7982 0.278003958185424 0.781009320289911 20.2604365527606 33.609125395715
al marine ns sk marine ns allo para S allo_S para_S 10 358 3 10.951290020228 6.02606949338446 7.16780159197744 0.3338 -0.627853434548698 0.530099957900031 0.615515060389918 7.21386136642279
al marine ns sk marine ns allo para S allo_S para_S 11 426 5 4.6470206294307 1.97407312621605 8.06837503924369 0.9721 1.73314471707091 0.0830699500672983 0.397758750461949 2.17841311710383
al marine ns sk marine ns allo para S allo_S para_S 12 381 12 1.74807486750968 1.55217249212948 0.32698392317122 0.0291 -0.915549625795016 0.359903162655869 26.4201184774059 2.13559465326233
al marine ns sk marine ns allo para S allo_S para_S 13 490 15 2.19827573081375 0.686413905668356 1.97535589874507 0.4118 -0.32476007584903 0.74536266288519 1.2903780040675 6.72892448661986
al marine ns sk marine ns allo para S allo_S para_S 14 439 13 1.85362074771299 0.59911733441593 2.03396573897531 0.6015 0.301017815547167 0.763400909377335 0.45819056279288 4.11232134082722
al marine ns sk marine ns allo para S allo_S para_S 15 406 4 6.82461133366099 3.13629737652402 9.70549543989583 0.7858 0.918562164353098 0.358324629666508 1.10884131174699 3.10735876350076
al marine ns sk marine ns allo para S allo_S para_S 16 432 3 8.45966854440417 4.73794592009262 7.60286155360884 0.4748 -0.180839335282783 0.856493687002045 3.81859498872224 0.0400216627842237
al marine ns sk marine ns allo para S allo_S para_S 17 407 11 3.48188540300846 1.00072178608104 3.62882927406394 0.5465 0.146837885513547 0.883259980465737 0.651196372407616 5.53305494661494
al marine ns sk marine ns allo para S allo_S para_S 18 451 9 2.95584332549233 1.00145348380867 2.02231416629207 0.1929 -0.932174259007942 0.351246476052168 0.448477577677696 22.1016038123636
al marine ns sk marine ns allo para S allo_S para_S 20 419 6 0.0993771468537484 0.0356352110552503 0.087981236861675 0.3879 -0.319793531583263 0.749124851388108 0.00549462267906381 0.248951396740434
al marine ns sk marine ns allo para S allo_S para_S 21 272 7 2.84022796844959 1.10153724699539 0.457243189095506 0.0048 -2.1633265564592 0.0305160719347191 0.583546052120715 2.51930830725379
al marine ns sr marine ns allo para S allo_S para_S 1 556 17 1.54411512128164 0.683104258196633 1.10765800738434 0.293 -0.638931918020139 0.522867222932595 1.19874570885382 17.8785249761873
al marine ns sr marine ns allo para S allo_S para_S 2 482 10 3.52237272013408 1.17994695635427 5.20168429122715 0.9176 1.42320937568389 0.154675468502292 0.703471708706605 6.41096504327725
al marine ns sr marine ns allo para S allo_S para_S 3 357 6 4.19669314022129 1.68894708259932 2.10239468689985 0.1155 -1.24000241031725 0.21497450263547 0.393031619172942 3.54065241142038
al marine ns sr marine ns allo para S allo_S para_S 4 637 9 3.75472450199545 1.61363316752098 1.86461384607896 0.1335 -1.17133850119124 0.241462741424079 1.20477849060238 4.31463825500901
al marine ns sr marine ns allo para S allo_S para_S 6 440 9 3.06779981797544 1.14251201367147 4.70036100166596 0.9078 1.42892255324674 0.153026494388385 0.502345327972634 7.73844455201957
al marine ns sr marine ns allo para S allo_S para_S 7 511 5 7.84015255864765 3.4379826658697 6.27949094802197 0.3468 -0.453946910820414 0.649867038268133 0.448076886633547 19.2511328844731
al marine ns sr marine ns allo para S allo_S para_S 8 403 7 4.41731968289394 1.71989494407767 2.00417178201361 0.0882 -1.40307866430436 0.160593382660282 0.583607915574711 12.1754235756164
al marine ns sr marine ns allo para S allo_S para_S 9 529 12 1.76047945454346 1.45943447295559 4.26590668527168 0.9943 1.71671101180331 0.0860319871392968 20.5374505954678 31.1599053238581
al marine ns sr marine ns allo para S allo_S para_S 10 366 8 3.77607149217722 1.40314131957837 3.0458484203224 0.3205 -0.520420189802579 0.602770741095366 0.605988243798155 5.10314988215874
al marine ns sr marine ns allo para S allo_S para_S 11 359 4 5.88353565614163 2.79731251184989 6.33686532196307 0.5539 0.162058999093258 0.871259393302239 0.473248472281212 3.18692983464063
al marine ns sr marine ns allo para S allo_S para_S 13 451 8 4.11182308946492 1.58693981274195 1.39338949261113 0.0278 -1.7130035903232 0.0867118790783926 1.50015845021504 9.89963601715851
al marine ns sr marine ns allo para S allo_S para_S 14 367 6 4.16673271693007 1.76849104337095 5.68468724934202 0.7713 0.858333175110998 0.390708515647306 0.5494012822813 0.992016851649647
al marine ns sr marine ns allo para S allo_S para_S 15 350 5 5.27839871756302 2.19090411483019 6.70749626191103 0.6977 0.652286667716073 0.51421625912075 1.52944072224502 11.7244903675668
al marine ns sr marine ns allo para S allo_S para_S 16 384 3 8.36660635051584 4.62200126549824 1.25140400221681 0.0248 -1.53942025100939 0.123701733277377 3.86809146927884 0.801142146051482
al marine ns sr marine ns allo para S allo_S para_S 17 343 10 3.83299281095529 1.17175002633762 4.0163271701212 0.5516 0.156462005585726 0.875668865509105 0.698680809633396 3.74477759562223
al marine ns sr marine ns allo para S allo_S para_S 18 359 6 4.61478725828059 1.87993260762304 4.4186530588879 0.4668 -0.104330441738909 0.916907120714469 0.596767607593406 12.0665454248756
al marine ns sr marine ns allo para S allo_S para_S 20 349 12 0.0456605329868342 0.0115482824195347 0.055360793585189 0.7947 0.83997431357811 0.400922788735072 0.00653844455325347 0.0757966371772146
al marine ns sr marine ns allo para S allo_S para_S 21 267 6 3.42433969166015 1.4496764696938 7.43034760572462 1 2.76338065617538 0.00572060080724116 0.848300962562977 2.10831102911757
al marine ns sr white ns allo para D allo_D para_D 1 626 17 1.53619320327446 0.678087031303109 0.215259992647598 0.0106 -1.94802901345624 0.0514114916470977 0.926432979658211 1.66793755829454
al marine ns sr white ns allo para D allo_D para_D 2 552 12 2.93373682902854 0.945456611913041 1.25127926878182 0.0363 -1.77951853003855 0.0751547897003484 0.579339960072827 16.0404715150366
al marine ns sr white ns allo para D allo_D para_D 3 451 7 3.7449101334203 1.36624426694269 6.62204732463076 0.9936 2.1058732035149 0.0352153678942783 0.336836511729102 9.13574171566374
al marine ns sr white ns allo para D allo_D para_D 4 851 20 1.83678429533646 0.554759556078862 2.05490140393056 0.6401 0.393174134999664 0.69419087187308 0.828676231226594 7.79134458919541
al marine ns sr white ns allo para D allo_D para_D 5 346 13 1.37618817696228 0.507720237223414 2.50718164742835 0.9784 2.22759186565256 0.0259077435966831 1.71420866043924 10.2105899219179
al marine ns sr white ns allo para D allo_D para_D 6 483 8 3.40280327900539 1.41065212200256 0.621813229274575 0.0075 -1.97142159030883 0.0486756735188548 0.567891345468944 4.94582942757199
al marine ns sr white ns allo para D allo_D para_D 7 651 14 2.60133246048487 0.757566223589687 2.71464735459792 0.5573 0.149577542641893 0.881097927202172 0.430460797716723 14.5231138187097
al marine ns sr white ns allo para D allo_D para_D 8 481 7 4.24763361566355 1.73630572389455 2.91306438956714 0.2537 -0.768625713623152 0.442115536172151 0.579666067907628 15.6327365891969
al marine ns sr white ns allo para D allo_D para_D 9 612 16 1.36374076074556 1.07188507176217 2.27682706333406 0.6628 0.851850936861539 0.394296830974586 20.5009064179892 35.1258331936522
al marine ns sr white ns allo para D allo_D para_D 10 408 6 5.13428490033312 2.19736998501866 3.24393846370539 0.2342 -0.86027680796399 0.389636474014454 0.538712713761333 6.65996318619496
al marine ns sr white ns allo para D allo_D para_D 11 486 14 1.44991776576215 0.501295164207679 1.0896819111117 0.2772 -0.718610272691982 0.472381082120218 0.477796662369114 2.87725881877789
al marine ns sr white ns allo para D allo_D para_D 12 396 10 2.33856125421186 1.92956615293183 0.757797140009721 0.2488 -0.819232920208664 0.412653535947636 26.4990775068236 29.4824498800489
al marine ns sr white ns allo para D allo_D para_D 13 524 14 2.36404011374843 0.729556620806345 1.08172874869191 0.0313 -1.75765845787164 0.0788056402507237 1.23905922636319 10.6972778675549
al marine ns sr white ns allo para D allo_D para_D 14 463 13 1.8565916148758 0.572056563470281 1.33301276820185 0.1909 -0.915257126843805 0.360056660735615 0.366275090250259 5.62149784450959
al marine ns sr white ns allo para D allo_D para_D 15 453 12 2.05590285612454 0.664068967735484 2.46492274589383 0.7314 0.615929835065283 0.537940829471183 0.944435709770256 12.7352505158043
al marine ns sr white ns allo para D allo_D para_D 16 471 17 1.2391928272709 0.435302882762498 0.594164361834721 0.0333 -1.48179231284372 0.13839556513903 3.80467326876487 3.26445624251147
al marine ns sr white ns allo para D allo_D para_D 17 384 10 3.79554035947924 1.21457778194389 3.46379681299268 0.3988 -0.273134871572916 0.784749541844746 0.671808878459555 13.2160796287658
al marine ns sr white ns allo para D allo_D para_D 18 410 15 1.70947898528202 0.501531276832784 0.519624584601524 0.0037 -2.37244306714935 0.0176708862338401 0.498057596761416 12.2752354185191
